priority_rank,page_id,action,predicted_momentum,confidence,reason_codes,avg_position_mean,position_slope,impressions_sum,ctr_actual,ctr_gap_vs_expected,content_type
1,page_0126,PRIORITY_REFRESH,declining,0.9241335664852137,high_visibility_page,17.426,0.027459294248402183,36003.0,0.008999250062494793,-0.0006007499375052065,guide
2,page_0196,PRIORITY_REFRESH,declining,0.9169620926030886,no_strong_signal,7.891666666666667,0.01238066129480412,17347.0,0.025710497492361793,0.0007104974923617911,blog
3,page_0155,PRIORITY_REFRESH,declining,0.9133737605797468,no_strong_signal,16.980166666666666,0.02950458460683563,24904.0,0.00955669771924189,-4.330228075810974e-05,blog
4,page_0026,PRIORITY_REFRESH,declining,0.9119928791148854,no_strong_signal,16.281333333333333,0.03401278132814676,26455.0,0.010357210357210357,-0.0004427896427896417,category
5,page_0095,PRIORITY_REFRESH,declining,0.911209260264351,no_strong_signal,7.624333333333335,0.0225662684078911,27988.0,0.02854794912105188,0.0035479491210518785,blog
6,page_0233,PRIORITY_REFRESH,declining,0.8966029326646361,high_visibility_page,18.575833333333335,0.037879133092525615,33894.0,0.007670974213725143,0.00047097421372514336,guide
7,page_0178,PRIORITY_REFRESH,declining,0.8959640690940875,no_strong_signal,15.809,0.032051681022506176,18960.0,0.011445147679324894,0.0006451476793248954,landing
8,page_0308,PRIORITY_REFRESH,declining,0.8940917411053492,high_visibility_page,16.503833333333336,0.032165323701027995,50702.0,0.0103151749437892,0.0007151749437892003,category
9,page_0052,PRIORITY_REFRESH,declining,0.8935495996943029,high_visibility_page,14.850833333333332,0.03470602945262567,43321.0,0.012234251286904734,0.0002342512869047339,landing
10,page_0025,PRIORITY_REFRESH,declining,0.8933246705514549,no_strong_signal,11.356000000000002,0.019639899972214443,9641.0,0.015765999377657918,-0.0010340006223420808,guide
11,page_0197,PRIORITY_REFRESH,declining,0.8919237288584672,no_strong_signal,9.255666666666665,0.012215059738816324,16261.0,0.021154910522108113,0.0011549105221081123,category
12,page_0108,PRIORITY_REFRESH,declining,0.8918156777004573,no_strong_signal,17.358500000000003,0.035587385384829404,17656.0,0.00917535115541459,-0.00042464884458541,guide
13,page_0319,PRIORITY_REFRESH,declining,0.8894915120931012,no_strong_signal,7.203166666666667,0.016598221728257874,13818.0,0.030395136778115502,0.0003951367781155034,category
14,page_0219,PRIORITY_REFRESH,declining,0.8864824951602795,high_visibility_page,12.176500000000003,0.02658544040011114,41554.0,0.015882947490012993,0.00028294749001299413,blog
15,page_0141,PRIORITY_REFRESH,declining,0.8845077216898922,low_visibility_page,17.327833333333338,0.03458877465962777,8467.0,0.00933034132514468,-0.00026965867485531994,blog
16,page_0103,PRIORITY_REFRESH,declining,0.8843084032809918,no_strong_signal,8.621166666666666,0.017445679355376463,11616.0,0.02255509641873278,0.002555096418732781,category
17,page_0271,PRIORITY_REFRESH,declining,0.8833980750936727,high_visibility_page,16.738333333333326,0.03676854681856075,37446.0,0.009934305399775677,0.00033430539977567786,blog
18,page_0186,PRIORITY_REFRESH,declining,0.8823073327658048,no_strong_signal,7.605666666666668,0.011981661572659104,11959.0,0.02642361401454971,0.0014236140145497088,blog
19,page_0236,PRIORITY_REFRESH,declining,0.8817563613232763,no_strong_signal,15.9055,0.023051125312586858,17671.0,0.010695489785524306,-0.00010451021447569278,category
20,page_0007,PRIORITY_REFRESH,declining,0.8808238860164429,no_strong_signal,14.481666666666667,0.032782439566546105,19834.0,0.012503781385499646,-0.0006962186145003536,product
21,page_0084,PRIORITY_REFRESH,declining,0.8804858295161203,no_strong_signal,18.7385,0.03812642400666851,27803.0,0.00773297845556235,0.0005329784555623499,product
22,page_0185,PRIORITY_REFRESH,declining,0.8799121058598329,no_strong_signal,12.195000000000004,0.02426840789108091,21831.0,0.014932893591681554,-0.0006671064083184457,landing
23,page_0193,PRIORITY_REFRESH,declining,0.8765279695289157,no_strong_signal,11.802000000000001,0.028452903584328854,16226.0,0.01639344262295082,0.0007934426229508212,product
24,page_0301,PRIORITY_REFRESH,declining,0.8752571817000697,high_visibility_page,13.397999999999998,0.023097527090858567,46603.0,0.014033431324163681,-0.0003665686758363186,guide
25,page_0234,PRIORITY_REFRESH,declining,0.8713609028117135,no_strong_signal,8.853333333333332,0.023714365101417056,14722.0,0.02160032604265725,0.0016003260426572484,landing
26,page_0294,PRIORITY_REFRESH,declining,0.8700904913039058,no_strong_signal,10.364500000000001,0.024808835787718735,30080.0,0.01751994680851064,-0.0004800531914893602,landing
27,page_0106,PRIORITY_REFRESH,declining,0.8682125599015619,high_visibility_page,18.821166666666667,0.03841317032509048,53102.0,0.00753267296900305,0.00033267296900305054,guide
